Tahun,Merek,Model,Bahan_Bakar,Jenis_Kendaraan,Km
2013,RENAULT,CLIO_III,DIESEL,MANUAL,67632
2015,RENAULT,SYMBOL,DIESEL,MANUAL,66076
2014,PEUGEOT,301,DIESEL,MANUAL,77835
2014,PEUGEOT,301,DIESEL,MANUAL,79775
2013,RENAULT,FLUENCE,DIESEL,MANUAL,132189
2013,RENAULT,CLIO_III,DIESEL,MANUAL,95916
2013,RENAULT,FLUENCE,DIESEL,MANUAL,109774
2008,VOLKSWAGEN,GOLF,PETROL,AUTOMATIC,233820
2013,RENAULT,FLUENCE,DIESEL,MANUAL,152459
2013,RENAULT,FLUENCE,DIESEL,MANUAL,119049
2013,PEUGEOT,301,DIESEL,MANUAL,30545
2013,RENAULT,FLUENCE,DIESEL,MANUAL,143709
2011,RENAULT,FLUENCE,DIESEL,MANUAL,165161
2013,RENAULT,CLIO_III,DIESEL,MANUAL,73337
2013,RENAULT,FLUENCE,DIESEL,MANUAL,109950
2013,RENAULT,FLUENCE,DIESEL,MANUAL,133209
2014,RENAULT,CLIO,DIESEL,MANUAL,112666
2013,RENAULT,FLUENCE,DIESEL,MANUAL,136787
2013,RENAULT,FLUENCE,DIESEL,MANUAL,170442
2010,FORD,MONDEO,DIESEL,AUTOMATIC,207832
2015,FIAT,LINEA,DIESEL,MANUAL,46700
2013,RENAULT,FLUENCE,DIESEL,MANUAL,142183
2013,RENAULT,FLUENCE,DIESEL,MANUAL,143723
2013,RENAULT,FLUENCE,DIESEL,MANUAL,139140
2013,RENAULT,FLUENCE,DIESEL,AUTOMATIC,146518
2014,PEUGEOT,301,DIESEL,MANUAL,50362
2016,PEUGEOT,301,DIESEL,MANUAL,35488
2013,RENAULT,FLUENCE,DIESEL,MANUAL,126116
2013,RENAULT,FLUENCE,DIESEL,MANUAL,"139486,0"
2013,RENAULT,FLUENCE,DIESEL,MANUAL,146284
2013,RENAULT,FLUENCE,DIESEL,MANUAL,154985
2014,PEUGEOT,301,DIESEL,MANUAL,51774
2013,RENAULT,FLUENCE,DIESEL,MANUAL,154927
2014,RENAULT,CLIO_IV,DIESEL,MANUAL,119920
2013,RENAULT,FLUENCE,DIESEL,MANUAL,63425
2013,RENAULT,FLUENCE,DIESEL,MANUAL,77457
2013,RENAULT,FLUENCE,DIESEL,MANUAL,101373
2013,RENAULT,FLUENCE,DIESEL,MANUAL,157757
2013,RENAULT,FLUENCE,DIESEL,MANUAL,120893
2013,RENAULT,FLUENCE,DIESEL,MANUAL,157149
2013,RENAULT,FLUENCE,DIESEL,MANUAL,128340
2015,RENAULT,CLIO,DIESEL,MANUAL,85227
2015,FIAT,LINEA,DIESEL,MANUAL,39337
2013,RENAULT,FLUENCE,DIESEL,MANUAL,99499
2015,PEUGEOT,301,DIESEL,MANUAL,20580
2013,RENAULT,FLUENCE,DIESEL,MANUAL,125765
2013,RENAULT,FLUENCE,DIESEL,MANUAL,119842
2013,RENAULT,FLUENCE,DIESEL,MANUAL,136391
2013,RENAULT,FLUENCE,DIESEL,MANUAL,114957
2013,RENAULT,FLUENCE,DIESEL,MANUAL,124600
2013,RENAULT,FLUENCE,DIESEL,MANUAL,141143
2013,RENAULT,FLUENCE,DIESEL,MANUAL,"123859,0"
2013,RENAULT,FLUENCE,DIESEL,MANUAL,140400
2015,RENAULT,CLIO_IV,DIESEL,MANUAL,74308
2013,RENAULT,FLUENCE,DIESEL,MANUAL,147739
2013,RENAULT,FLUENCE,DIESEL,MANUAL,87421
2005,KIA,SPORTAGE,DIESEL,AUTOMATIC,166734
2013,RENAULT,FLUENCE,DIESEL,MANUAL,134122
2013,RENAULT,FLUENCE,DIESEL,MANUAL,133937
2013,RENAULT,FLUENCE,DIESEL,MANUAL,139981
2013,RENAULT,FLUENCE,DIESEL,MANUAL,71956
2013,RENAULT,FLUENCE,DIESEL,MANUAL,100743
2013,RENAULT,FLUENCE,DIESEL,MANUAL,126281
2013,RENAULT,FLUENCE,DIESEL,MANUAL,133305
2013,RENAULT,FLUENCE,DIESEL,MANUAL,101489
2013,RENAULT,FLUENCE,DIESEL,MANUAL,98805
2013,RENAULT,FLUENCE,DIESEL,MANUAL,92839
2013,RENAULT,FLUENCE,DIESEL,MANUAL,109674
2013,RENAULT,FLUENCE,DIESEL,MANUAL,92150
2013,RENAULT,FLUENCE,DIESEL,MANUAL,130771
2013,RENAULT,FLUENCE,DIESEL,MANUAL,77805
2013,RENAULT,FLUENCE,DIESEL,MANUAL,111959
2013,RENAULT,FLUENCE,DIESEL,MANUAL,129574
2013,RENAULT,FLUENCE,DIESEL,MANUAL,78237
2013,RENAULT,FLUENCE,DIESEL,MANUAL,78945
2013,RENAULT,FLUENCE,DIESEL,MANUAL,114739
2013,RENAULT,FLUENCE,DIESEL,MANUAL,118963
2013,RENAULT,FLUENCE,DIESEL,MANUAL,120044
2014,RENAULT,FLUENCE,DIESEL,MANUAL,139783
2014,VOLKSWAGEN,POLO,PETROL,MANUAL,"69944,0"
2015,DACIA,SANDERO,DIESEL,MANUAL,27094
2013,FORD,B_MAX,PETROL,AUTOMATIC,76337
2013,RENAULT,FLUENCE,DIESEL,MANUAL,41730
2013,RENAULT,FLUENCE,DIESEL,MANUAL,94703
2013,RENAULT,FLUENCE,DIESEL,MANUAL,104676
2013,FIAT,LINEA,DIESEL,MANUAL,71457
2013,RENAULT,FLUENCE,DIESEL,MANUAL,89605
2013,FIAT,LINEA,DIESEL,MANUAL,69512
2013,RENAULT,FLUENCE,DIESEL,MANUAL,68112
2015,RENAULT,CLIO,DIESEL,MANUAL,73836
2013,RENAULT,FLUENCE,DIESEL,MANUAL,86560
2013,RENAULT,FLUENCE,DIESEL,MANUAL,82817
2013,RENAULT,FLUENCE,DIESEL,MANUAL,67775
2013,FIAT,LINEA,DIESEL,MANUAL,58304
2013,RENAULT,FLUENCE,DIESEL,MANUAL,55870
2013,FIAT,LINEA,DIESEL,MANUAL,68741
2014,FORD,B_MAX,DIESEL,AUTOMATIC,63111
2014,RENAULT,FLUENCE,DIESEL,MANUAL,50813
2015,VOLKSWAGEN,POLO,DIESEL,MANUAL,49535
2014,RENAULT,FLUENCE,DIESEL,MANUAL,96454
2014,RENAULT,FLUENCE,DIESEL,MANUAL,91067
2014,RENAULT,FLUENCE,DIESEL,MANUAL,70842
2014,FORD,B_MAX,PETROL,AUTOMATIC,"31122,0"
2016,PEUGEOT,208,PETROL,AUTOMATIC,18583
2016,NISSAN,MICRA,PETROL,AUTOMATIC,17326
2016,PEUGEOT,208,PETROL,AUTOMATIC,19682
2015,HYUNDAI,I20,DIESEL,MANUAL,25378
2014,RENAULT,FLUENCE,DIESEL,AUTOMATIC,101058
2014,HYUNDAI,ACCENT_BLUE,DIESEL,AUTOMATIC,83625
2013,RENAULT,FLUENCE,DIESEL,AUTOMATIC,186836
2013,FORD,FOCUS,DIESEL,MANUAL,236792
2012,OPEL,INSIGNIA,PETROL,MANUAL,93548
2012,VOLKSWAGEN,JETTA,PETROL,MANUAL,"93187,0"
2013,RENAULT,FLUENCE,DIESEL,AUTOMATIC,93725
2014,RENAULT,FLUENCE,DIESEL,AUTOMATIC,100940
2016,NISSAN,MICRA,PETROL,AUTOMATIC,7189
2016,RENAULT,CLIO_IV,DIESEL,MANUAL,23990
2016,HYUNDAI,I20,PETROL,AUTOMATIC,12688
2013,FORD,FOCUS,DIESEL,MANUAL,160907
2014,FIAT,LINEA,DIESEL,MANUAL,33482
2015,RENAULT,CLIO_IV,DIESEL,MANUAL,48269
2014,DACIA,DUSTER,DIESEL,MANUAL,86035
2013,TOYOTA,YARIS,DIESEL,AUTOMATIC,99078
2013,PEUGEOT,508,DIESEL,AUTOMATIC,143120
2015,RENAULT,CLIO_IV,DIESEL,MANUAL,32105
2014,RENAULT,FLUENCE,DIESEL,MANUAL,79989
2013,FIAT,500L,DIESEL,MANUAL,99046
2014,FIAT,500L,DIESEL,MANUAL,42248
2016,NISSAN,MICRA,PETROL,AUTOMATIC,8754
2015,RENAULT,FLUENCE,DIESEL,MANUAL,92932
2014,DACIA,DUSTER,DIESEL,MANUAL,59000
2015,RENAULT,FLUENCE,DIESEL,MANUAL,97569
2013,OPEL,ASTRA,DIESEL,MANUAL,121480
2016,HYUNDAI,I20,DIESEL,MANUAL,24027
2015,RENAULT,FLUENCE,DIESEL,MANUAL,65693
2013,VOLKSWAGEN,POLO,DIESEL,AUTOMATIC,115230
